Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
The Other Half of Happy,"Balcarel, Rebecca",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
First Family,"Baldacci, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Saving Faith,"Baldacci, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Innocent,"Baldacci, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Whole Truth,"Baldacci, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Zero Day,"Baldacci, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Everything You Need to Know About Bisexuality,"Baldino, Greg",Kentucky,Boyle County Schools,October 2023,Banned,Administration
Go Tell It on the Mountain,"Baldwin, James",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Last Kid Left,"Baldwin, Rosecrans",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Complete Book of Dreams and Dreaming,"Ball, Pamela J.",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
What I Lost,"Ballard, Alexandra",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Gorilla, My Love","Bambara, Toni",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Of Poseidon,"Banks, Anna",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
The Book of Fred,"Bardi, Abby",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crooked Kingdom: A Sequel to Six of Crows,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
King of Scars,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ninth House,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ruin and Rising,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Shadow and Bone,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Siege and Storm,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Six of Crows,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Language of Thorns: Midnight Tales and Dangerous Magic,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Wonder Woman: Warbringer,"Bardugo, Leigh",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Taliban Shuffle: Strange Days in Afghanistan and Pakistan,"Barker, Kim",Iowa,Indianola Community School District,October 2023,Banned,Administration
The House of One Thousand Eyes,"Barker, Michelle",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Killer Spirit,"Barnes, Jennifer Lynn",Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
The Hawthorne Legacy,"Barnes, Jennifer Lynn",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Inheritance Games,"Barnes, Jennifer Lynn",Florida,Collier County Public Schools,October 2023,Banned pending investigation,Administration
Tales of the Madman Underground,"Barnes, John",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Hi, Jack!","Barnett, Mac",Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge
The Girl Who Drank the Moon,"Barnhill, Kelly",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Two-Way Street,"Barnholdt, Lauren",Florida,Clay County School District,May 2024,Banned pending investigation,Formal Challenge
The Truth and Lies of Ella Black,"Barr, Emily",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Kingdom of Souls,"Barron, Rena",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Maya and the Rising Dark,"Barron, Rena",Florida,Clay County School District,March 2024,Banned pending investigation,Formal Challenge
Lexicon,"Barry, Max",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Troublemakers,"Barter, Catherine",Kentucky,Boyle County Schools,October 2023,Banned,Administration
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",Florida,Collier County Public Schools,September 2023,Banned,Formal Challenge
Wonders of the Invisible World,"Barzak, Christopher",Florida,Collier County Public Schools,September 2023,Banned,Formal Challenge
Girls Made of Snow and Glass,"Bashardoust, Melissa",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Words and Their Meanings,"Bassett, Kate",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Burning,"Bates, Laura",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Harley, Like a Person","Bauer, Cat",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Stonewall: Breaking Out in the Fight for Gay Rights,"Bausum, Ann",Kentucky,Boyle County Schools,October 2023,Banned,Administration
A Psalm for Lost Girls,"Bayerl, Katie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Cinderella Is Dead,"Bayron, Kalynn",Florida,Charlotte County Public Schools,August 2023,Banned pending investigation,Administration
My Dear Henry: A Jekyll and Hyde Remix,"Bayron, Kalynn",Kentucky,Boyle County Schools,October 2023,Banned,Administration
The Vanquishers,"Bayron, Kalynn",Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge
This Poison Heart,"Bayron, Kalynn",Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge
A Long Way Gone: Memoirs of a Boy Soldier,"Beah, Ishmael",Texas,Conroe Independent School District,November 2023,Banned by restriction,Administration
"March Forward, Girl","Beals, Melba",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
I Am J,"Beam, Cris",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Ship We Built,"Bean, Lexie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Serafina and the Black Cloak,"Beatty, Robert",Florida,Clay County School District,March 2024,Banned by restriction,Formal Challenge
"Aaron Slater, Illustrator","Beaty, Andrea",Kentucky,Boyle County Schools,October 2023,Banned,Administration
"Sofia Valdez, Future Prez","Beaty, Andrea",Florida,Clay County School District,June 2024,Banned pending investigation,Formal Challenge
Wise Young Fool,"Beaudoin, Sean",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Fun Home: A Family Tragicomic,"Bechdel, Alison",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
Flip,"Bedford, Martyn",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Critical Perspectives on Sexual Harassment and Gender Violence,"Being, Bridey",Texas,North East Independent School District,June 2024,Banned,Administration
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",Florida,Lake County Schools,July 2023,Banned,Administration
Little Blog on the Prairie,"Bell, Cathleen Davitt",Texas,North East Independent School District,June 2024,Banned,Administration
Hawke,"Bell, Ted",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Death Wind,"Bell, William",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Herzog,"Bellow, Saul",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Jaws,"Benchley, Peter",Florida,Clay County School District,November 2023,Banned,Formal Challenge
The Color Master,"Bender, Aimee",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Seven Rays,"Bendinger, Jessica",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Glimpse: A YA Paranormal Romance,"Benefiel, Stacey Wallace",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
City of Thieves (DB),"Benioff, David",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Thing About Jellyfish,"Benjamin, Ali",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
The Immortalists,"Benjamin, Chloe",Texas,Conroe Independent School District,January 2024,Banned,Informal Challenge
Rival,"Bennett-Wealer, Sara",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The History Boys: A Play,"Bennett, Alan",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Plunking Reggie Jackson,"Bennett, James W.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Alex, Approximately","Bennett, Jenn",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Chasing Lucky,"Bennett, Jenn",Iowa,Sioux Center Community School District,June 2024,Banned,Administration
Starry Eyes,"Bennett, Jenn",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Horde,"Bennett, Marguerite",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Everything You Need to Know About Birth Control,"Benson, Alana",Texas,North East Independent School District,June 2024,Banned,Administration
Dumbness is a Dish Best Served Cold,"Benton, Jim",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Also Known As,"Benway, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Audrey, Wait!","Benway, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Emmy and Oliver,"Benway, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Far from the Tree,"Benway, Robin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Mr. Darcy Takes a Wife: A Deliciously Steamy Historical Romance that Starts After the Wedding Night,"Berdoll, Linda",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Midnight in the Garden of Good and Evil,"Berendt, John",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
